Aruba Lava Fm	100.5000	93.9000	93.9000	89.8000
Arundel Fm and Patuxent Fm	129.4000	125.0000	113.0000	100.5000
Arundel Fm and Patuxent Fm	139.8000	132.9000	113.0000	100.5000
Arusa Fm	33.9000	28.1000	33.9000	28.1000
Arvison Fm	199.3000	190.8000	190.8000	182.7000
Arvonia Fm	464.0000	458.4000	452.0000	450.0000
Asbury Park Mbr	23.0300	20.4400	23.0300	20.4400
Ascalon Fm	251.2000	247.2000	251.2000	247.2000
Ascot	501.0000	496.8000	470.0000	464.0000
Ascutney Mtn	113.0000	100.5000	100.5000	93.9000
Ash Creek Gp	2500.0000	541.0000	2500.0000	541.0000
Ash Hollow Fm	11.6200	7.2460	7.2460	5.3330
Ash Hollow Fm	11.6200	7.2460	11.6200	7.2460
Ashburn	850.0000	541.0000	850.0000	541.0000
Ashcroft	190.8000	182.7000	166.1000	163.5000
Ashcroft Fm	199.3000	190.8000	166.1000	163.5000
Ashdown Tuff	23.0300	20.4400	23.0300	20.4400
Ashe Fm	2500.0000	541.0000	2500.0000	541.0000
Ashern Fm	393.3000	387.7000	387.7000	382.7000
Ashern Fm	407.6000	393.3000	393.3000	387.7000
Ashern Fm	393.3000	387.7000	393.3000	387.7000
Ashley Mbr	28.1000	23.0300	28.1000	23.0300
Ashley Mudstone	53.0000	49.5000	53.0000	49.5000
Ashley Mudstone	37.0000	36.0000	36.0000	34.3000
Ashley Mudstone	53.0000	49.5000	49.5000	46.2000
Ashley Mudstone	65.0000	55.5000	46.2000	43.0000
Ashley Mudstone	53.0000	49.5000	46.2000	43.0000
Ashley Mudstone	49.5000	46.2000	46.2000	43.0000
Ashley Mudstone	53.0000	49.5000	43.0000	37.0000
Ashley Mudstone	53.0000	49.5000	36.0000	34.3000
Ashley Mudstone	37.0000	36.0000	37.0000	36.0000
Ashley Mudstone	65.0000	55.5000	37.0000	36.0000
Ashley Mudstone	65.0000	55.5000	65.0000	55.5000
Ashley Mudstone	46.2000	43.0000	37.0000	36.0000
Ashley Mudstone	43.0000	37.0000	34.3000	27.3000
Ashlock Fm	452.0000	450.0000	452.0000	450.0000
Ashman	168.3000	166.1000	166.1000	163.5000
Ashman	170.3000	168.3000	163.5000	157.3000
Ashman Fm	168.3000	166.1000	163.5000	157.3000
Ashuanipi	2800.0000	2500.0000	2800.0000	2500.0000
Ashurst Sand Bed of Kreyenhagen Fm	47.8000	41.3000	47.8000	41.3000
Ashville	113.0000	100.5000	100.5000	93.9000
Asitka Gp	298.9000	295.5000	295.5000	290.1000
Askin	443.4000	433.4000	427.4000	423.0000
Askin	427.4000	423.0000	410.8000	407.6000
Askin	410.8000	407.6000	387.7000	382.7000
Askin	427.4000	423.0000	382.7000	372.2000
Askin	438.5000	433.4000	433.4000	427.4000
Aspen Shale	113.0000	100.5000	113.0000	100.5000
Aspen Shale	125.0000	113.0000	113.0000	100.5000
Asphalto Sand Bed	11.6200	7.2460	11.6200	7.2460
Asselin	433.4000	427.4000	427.4000	423.0000
Assiniboine Kelo	93.9000	89.8000	93.9000	89.8000
Assistance	280.0000	272.3000	280.0000	272.3000
Assistance	280.0000	272.3000	272.3000	259.9000
Assistance Fm	290.1000	279.3000	272.3000	268.8000
Assistance Fm	272.3000	268.8000	272.3000	268.8000
Assistance Fm	272.3000	268.8000	268.8000	265.1000
Astika	315.2000	308.0000	298.9000	280.0000
Aston	1300.0000	850.0000	1300.0000	850.0000
Aston	850.0000	541.0000	850.0000	541.0000
Aston	1600.0000	1000.0000	1600.0000	1000.0000
